trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T,max_steps,mode,mode_variant,n_effective,R_effective
8,150,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
9,151,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
10,152,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
11,153,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
12,154,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
13,155,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
14,156,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
15,157,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
16,158,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
17,159,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
18,160,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
19,161,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
20,162,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
21,163,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
22,164,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
23,165,0.1,10.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
24,166,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
25,167,0.1,10.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
26,168,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
27,169,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
28,170,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
29,171,0.1,10.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
30,172,0.1,10.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
