trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
86,42,228,1228,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.999999999963983,45000.0,18,100,0,0.0,10,4b7a3969020d3505,adaptive,adaptive_heuristic_n1,1,3,3800
87,42,229,1229,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999779103,45000.0,18,100,0,0.0,10,1eb091227fee2723,adaptive,adaptive_heuristic_n1,1,3,4150
88,42,230,1230,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.99999999997888,45000.0,18,100,0,0.0,10,549a618679cc6771,adaptive,adaptive_heuristic_n1,1,3,3900
89,42,231,1231,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.999999999960848,45000.0,18,100,0,0.0,10,d1476459723efebe,adaptive,adaptive_heuristic_n1,1,3,4050
90,42,232,1232,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999719028,45000.0,18,100,0,0.0,10,59eb40131fa05975,adaptive,adaptive_heuristic_n1,1,3,4050
91,42,233,1233,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999793697,45000.0,18,100,0,0.0,10,0c41affb215823af,adaptive,adaptive_heuristic_n1,1,3,3950
92,42,234,1234,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999417083,45000.0,18,100,0,0.0,10,02c3921f49a8d8a0,adaptive,adaptive_heuristic_n1,1,3,3050
93,42,235,1235,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.3896053959357368,45000.0,18,100,0,0.0,10,29ad779c35efc727,adaptive,adaptive_heuristic_n1,1,3,4100
94,42,236,1236,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999804381,45000.0,18,100,0,0.0,10,da2c2425b22529a4,adaptive,adaptive_heuristic_n1,1,3,4000
95,42,237,1237,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999683189,45000.0,18,100,0,0.0,10,457e0c24f8cfbe3f,adaptive,adaptive_heuristic_n1,1,3,3950
96,42,238,1238,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999696956,45000.0,18,100,0,0.0,10,26b5e521593e525b,adaptive,adaptive_heuristic_n1,1,3,4150
97,42,239,1239,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.4058668935165921,45000.0,18,100,0,0.0,10,d76c49c7bbdeb8b5,adaptive,adaptive_heuristic_n1,1,3,4100
98,42,240,1240,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999806586,45000.0,18,100,0,0.0,10,3184bdb4a7c97800,adaptive,adaptive_heuristic_n1,1,3,3450
99,42,241,1241,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.999999999973231,45000.0,18,100,0,0.0,10,fe10f120278d45fc,adaptive,adaptive_heuristic_n1,1,3,3901
0,42,242,1242,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.999999999976566,45000.0,18,100,0,0.0,20,1d8de7c0bc7d83b6,adaptive,adaptive_heuristic_n1,1,3,3150
1,42,243,1243,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999519896,45000.0,18,100,0,0.0,20,5d00562c8a4e4528,adaptive,adaptive_heuristic_n1,1,3,3551
2,42,244,1244,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999836908,45000.0,18,100,0,0.0,20,dc1587184c968985,adaptive,adaptive_heuristic_n1,1,3,3050
3,42,245,1245,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.3675550160183052,45000.0,18,100,0,0.0,20,85bd2433fedc0f0b,adaptive,adaptive_heuristic_n1,1,3,3350
4,42,246,1246,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.4094599770206095,45000.0,18,100,0,0.0,20,402a434850040a1c,adaptive,adaptive_heuristic_n1,1,3,3600
5,42,247,1247,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999457938,45000.0,18,100,0,0.0,20,042dd0860dbe3adc,adaptive,adaptive_heuristic_n1,1,3,3250
6,42,248,1248,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999799776,45000.0,18,100,0,0.0,20,9e9f64eaa2d49c22,adaptive,adaptive_heuristic_n1,1,3,3300
7,42,249,1249,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999812207,45000.0,18,100,0,0.0,20,03d07d5d3dda455f,adaptive,adaptive_heuristic_n1,1,3,3400
8,42,250,1250,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.40037668372104995,45000.0,18,100,0,0.0,20,465717a2bd61a695,adaptive,adaptive_heuristic_n1,1,3,3750
9,42,251,1251,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999583338,45000.0,18,100,0,0.0,20,06f8fb85e69d6285,adaptive,adaptive_heuristic_n1,1,3,3500
10,42,252,1252,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999348805,45000.0,18,100,0,0.0,20,5dc4c7bc2570a122,adaptive,adaptive_heuristic_n1,1,3,3650
11,42,253,1253,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.999999999944895,45000.0,18,100,0,0.0,20,39637d331ece22ad,adaptive,adaptive_heuristic_n1,1,3,3100
12,42,254,1254,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999770499,45000.0,18,100,0,0.0,20,48059fc23c406176,adaptive,adaptive_heuristic_n1,1,3,3000
13,42,255,1255,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999708116,45000.0,18,100,0,0.0,20,8afe2373964bb9c2,adaptive,adaptive_heuristic_n1,1,3,3051
14,42,256,1256,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999653231,45000.0,18,100,0,0.0,20,201118c81a02f301,adaptive,adaptive_heuristic_n1,1,3,3200
15,42,257,1257,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.41898666640268245,45000.0,18,100,0,0.0,20,05ae26248b9a4459,adaptive,adaptive_heuristic_n1,1,3,3100
16,42,258,1258,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999705254,45000.0,18,100,0,0.0,20,785167e2ca206f24,adaptive,adaptive_heuristic_n1,1,3,3000
17,42,259,1259,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999690168,45000.0,18,100,0,0.0,20,43d36de7b34bebc5,adaptive,adaptive_heuristic_n1,1,3,3350
18,42,260,1260,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999785364,45000.0,18,100,0,0.0,20,7fde64e11014b096,adaptive,adaptive_heuristic_n1,1,3,3350
19,42,261,1261,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999634793,45000.0,18,100,0,0.0,20,1862eb1afc79fabb,adaptive,adaptive_heuristic_n1,1,3,3400
20,42,262,1262,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999732372,45000.0,18,100,0,0.0,20,817cfc541dfd57b5,adaptive,adaptive_heuristic_n1,1,3,2350
21,42,263,1263,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.9999999999530141,45000.0,18,100,0,0.0,20,a95c7a500f4936d2,adaptive,adaptive_heuristic_n1,1,3,3150
22,42,264,1264,random,0.2,0.1,10,3,0.2,0,1,1,0,50,0.38673467093214253,45000.0,18,100,0,0.0,20,5b8578c1c68fbb67,adaptive,adaptive_heuristic_n1,1,3,3300
